[2025-02-09T05:55:53.751728+01:00] slim_app.ERROR: Not found. {"exception":"[object] (Slim\\Exception\\HttpNotFoundException(code: 404): Not found. at C:\\xampp\\htdocs\\room-vibe-backend\\slim-php\\vendor\\slim\\slim\\Slim\\Middleware\\RoutingMiddleware.php:76)"} []
[2025-02-09T05:56:22.305089+01:00] slim_app.ERROR: Not found. {"exception":"[object] (Slim\\Exception\\HttpNotFoundException(code: 404): Not found. at C:\\xampp\\htdocs\\room-vibe-backend\\slim-php\\vendor\\slim\\slim\\Slim\\Middleware\\RoutingMiddleware.php:76)"} []
[2025-02-09T06:00:28.127089+01:00] slim_app.ERROR: Not found. {"exception":"[object] (Slim\\Exception\\HttpNotFoundException(code: 404): Not found. at C:\\xampp\\htdocs\\room-vibe-backend\\slim-php\\vendor\\slim\\slim\\Slim\\Middleware\\RoutingMiddleware.php:76)"} []
[2025-02-09T06:00:59.805425+01:00] slim_app.ERROR: Not found. {"exception":"[object] (Slim\\Exception\\HttpNotFoundException(code: 404): Not found. at C:\\xampp\\htdocs\\room-vibe-backend\\slim-php\\vendor\\slim\\slim\\Slim\\Middleware\\RoutingMiddleware.php:76)"} []
[2025-02-09T06:01:09.566347+01:00] slim_app.ERROR: Not found. {"exception":"[object] (Slim\\Exception\\HttpNotFoundException(code: 404): Not found. at C:\\xampp\\htdocs\\room-vibe-backend\\slim-php\\vendor\\slim\\slim\\Slim\\Middleware\\RoutingMiddleware.php:76)"} []
[2025-02-26T14:21:38.476160+01:00] Database.ERROR: Connection error: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for localhsot failed: No such host is known.  in C:\xampp\htdocs\room-vibe-backend\slim-php\helpers\Database.php on line 41 with code 2002 at 2025-02-26 14:21:38 [] []
[2025-02-26T14:22:37.488864+01:00] Database.ERROR: Connection error: SQLSTATE[HY000] [1049] Unknown database 'room_vibe' in C:\xampp\htdocs\room-vibe-backend\slim-php\helpers\Database.php on line 41 with code 1049 at 2025-02-26 14:22:37 [] []
[2025-02-26T14:22:42.022989+01:00] Database.ERROR: Connection error: SQLSTATE[HY000] [1049] Unknown database 'room_vibe' in C:\xampp\htdocs\room-vibe-backend\slim-php\helpers\Database.php on line 41 with code 1049 at 2025-02-26 14:22:42 [] []
[2025-02-26T14:22:45.825529+01:00] Database.ERROR: Connection error: SQLSTATE[HY000] [1049] Unknown database 'room_vibe' in C:\xampp\htdocs\room-vibe-backend\slim-php\helpers\Database.php on line 41 with code 1049 at 2025-02-26 14:22:45 [] []
[2025-02-26T14:28:52.191877+01:00] Database.INFO: 2025-02-26 14:28:52: Database connection established successfully. [] []
[2025-02-26T14:39:46.594765+01:00] Database.INFO: 2025-02-26 14:39:46 : Database connection established successfully.     [] []
[2025-02-26T14:40:15.416488+01:00] Database.INFO: 2025-02-26 14:40:15 : Database connection established successfully.     [] []
[2025-02-26T15:32:45.540166+01:00] Database.INFO: 2025-02-26 15:32:45 : Database connection established successfully.     [] []
[2025-02-26T15:33:28.550872+01:00] Database.INFO: 2025-02-26 15:33:28 : Database connection established successfully.     [] []
[2025-02-26T15:34:13.012274+01:00] Database.INFO: 2025-02-26 15:34:13 : Database connection established successfully.     [] []
[2025-02-26T15:34:21.031565+01:00] Database.INFO: 2025-02-26 15:34:21 : Database connection established successfully.     [] []
[2025-02-26T15:34:36.516282+01:00] Database.INFO: 2025-02-26 15:34:36 : Database connection established successfully.     [] []
[2025-02-26T15:34:52.300293+01:00] Database.INFO: 2025-02-26 15:34:52 : Database connection established successfully.     [] []
[2025-02-26T15:34:56.143016+01:00] Database.INFO: 2025-02-26 15:34:56 : Database connection established successfully.     [] []
[2025-02-26T15:35:42.812829+01:00] Database.INFO: 2025-02-26 15:35:42 : Database connection established successfully.     [] []
[2025-02-26T15:35:59.673295+01:00] Database.INFO: 2025-02-26 15:35:59 : Database connection established successfully.     [] []
[2025-02-26T15:36:46.105681+01:00] Database.INFO: 2025-02-26 15:36:46 : Database connection established successfully.     [] []
[2025-02-26T15:36:51.070377+01:00] Database.INFO: 2025-02-26 15:36:51 : Database connection established successfully.     [] []
[2025-02-26T15:36:55.458777+01:00] Database.INFO: 2025-02-26 15:36:55 : Database connection established successfully.     [] []
[2025-02-26T15:52:22.646638+01:00] Database.INFO: 2025-02-26 15:52:22 : Database connection established successfully.     [] []
[2025-02-26T16:01:03.159407+01:00] Database.INFO: 2025-02-26 16:01:03 : Database connection established successfully.     [] []
[2025-02-26T16:01:21.343474+01:00] Database.INFO: 2025-02-26 16:01:21 : Database connection established successfully.     [] []
[2025-02-26T16:01:47.791213+01:00] Database.INFO: 2025-02-26 16:01:47 : Database connection established successfully.     [] []
[2025-02-26T16:01:52.690865+01:00] Database.INFO: 2025-02-26 16:01:52 : Database connection established successfully.     [] []
[2025-02-26T16:02:35.933784+01:00] Database.INFO: 2025-02-26 16:02:35 : Database connection established successfully.     [] []
[2025-02-26T16:02:43.117466+01:00] Database.INFO: 2025-02-26 16:02:43 : Database connection established successfully.     [] []
